"_time",accountLast4,amount,currency,endTime,endpointName,endpoints,event,eventTypes,raw,request,response,responseTime,returnCode,returnCodes,routingNumber,routingNumbers,serviceName,startTime,uuid
"2026-05-09T03:11:52.000+0000",5472,14677,USD,"1778296313.049","/v1/ach/debit","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",INFO,"INFO,ERROR,EXIT",a0022649d9382043585e002a21666b0f,"{""type"":""debit"",""amount"":14677,""currency"":""USD"",""accountLast4"":""5472"",""routingNumber"":""021000021""}","{""status"":""pending"",""achStatus"":""submitted"",""estimatedSettlementDate"":""2026-05-10""}",1049,R29,"R01,R02,R03,R04,R07,R08,R10,R29",021000021,"021000021,111000025,091000022,026009593,122105155","payments-service",1778296312,"a0022649-d938-2043-585e-002a21666b0f"
"2026-05-06T09:22:47.000+0000",3580,6987,USD,"1778059367.945","/v1/ach/credit","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",EXIT,"INFO,ERROR,EXIT",4ec5670d1f065bf5eb681dee820d0e50,"{""type"":""credit"",""amount"":6987,""currency"":""USD"",""destinationAccountLast4"":""3580"",""routingNumber"":""026009593""}","{""status"":""error"",""errorCode"":""ACH-504"",""message"":""gateway_timeout""}",945,R01,"R01,R02,R03,R04,R07,R08,R10,R29",026009593,"021000021,111000025,091000022,026009593,122105155","payments-service",1778059367,"4ec5670d-1f06-5bf5-eb68-1dee820d0e50"
"2026-05-07T06:24:44.000+0000",6008,41203,USD,"1778135084.547","/v1/ach/status","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",INFO,"INFO,ERROR,EXIT",214b4e0ad9ad190f27e9b78a9ea4aa44,"{""transferId"":""ACH-752862"",""action"":""status""}","{""status"":""settled"",""achStatus"":""completed"",""settledAt"":""2026-05-07T06:24:44Z""}",547,R04,"R01,R02,R03,R04,R07,R08,R10,R29",026009593,"021000021,111000025,091000022,026009593,122105155","payments-service",1778135084,"214b4e0a-d9ad-190f-27e9-b78a9ea4aa44"
"2026-05-07T23:54:47.000+0000",1328,44716,USD,"1778198087.151","/v1/ach/return","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",INFO,"INFO,ERROR,EXIT",5cbf33b38431b1edbdde5e884e0dcdbc,"{""transferId"":""ACH-827678"",""action"":""return""}","{""status"":""unknown""}",151,R29,"R01,R02,R03,R04,R07,R08,R10,R29",026009593,"021000021,111000025,091000022,026009593,122105155","payments-service",1778198087,"5cbf33b3-8431-b1ed-bdde-5e884e0dcdbc"
"2026-05-07T03:45:16.000+0000",3254,19718,USD,"1778125516.494","/v1/ach/status","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",EXIT,"INFO,ERROR,EXIT",6e611de1c9f2d065cbc3e60ccbede26d,"{""transferId"":""ACH-958233"",""action"":""status""}","{""status"":""error"",""errorCode"":""ACH-504"",""message"":""gateway_timeout""}",494,R04,"R01,R02,R03,R04,R07,R08,R10,R29",021000021,"021000021,111000025,091000022,026009593,122105155","payments-service",1778125516,"6e611de1-c9f2-d065-cbc3-e60ccbede26d"
"2026-05-06T05:13:03.000+0000",3662,37311,USD,"1778044383.763","/v1/ach/verify-account","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",EXIT,"INFO,ERROR,EXIT",2acf3917487c757e4d610494176288b2,"{""accountLast4"":""3662"",""routingNumber"":""111000025""}","{""status"":""error"",""errorCode"":""ACH-504"",""message"":""gateway_timeout""}",763,R08,"R01,R02,R03,R04,R07,R08,R10,R29",111000025,"021000021,111000025,091000022,026009593,122105155","payments-service",1778044383,"2acf3917-487c-757e-4d61-0494176288b2"
"2026-05-11T17:06:27.000+0000",3906,21523,USD,"1778519187.098","/v1/ach/settlement","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",EXIT,"INFO,ERROR,EXIT",fa69e0ed0377ccebfec17f7643b90583,"{""transferId"":""ACH-986888"",""action"":""settlement""}","{""status"":""error"",""errorCode"":""ACH-504"",""message"":""gateway_timeout""}",98,R07,"R01,R02,R03,R04,R07,R08,R10,R29",111000025,"021000021,111000025,091000022,026009593,122105155","payments-service",1778519187,"fa69e0ed-0377-cceb-fec1-7f7643b90583"
"2026-05-12T05:06:54.000+0000",9585,10968,USD,"1778562415.168","/v1/ach/return","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",EXIT,"INFO,ERROR,EXIT",c15ed1d6343c7279b3f9952864255829,"{""transferId"":""ACH-397269"",""action"":""return""}","{""status"":""error"",""errorCode"":""ACH-504"",""message"":""gateway_timeout""}",1168,R29,"R01,R02,R03,R04,R07,R08,R10,R29",021000021,"021000021,111000025,091000022,026009593,122105155","payments-service",1778562414,"c15ed1d6-343c-7279-b3f9-952864255829"
"2026-05-08T09:31:25.000+0000",8255,41467,USD,"1778232686.1","/v1/ach/credit","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",EXIT,"INFO,ERROR,EXIT",d0f6ed9deb72f2470707d2ef3c7201da,"{""type"":""credit"",""amount"":41467,""currency"":""USD"",""destinationAccountLast4"":""8255"",""routingNumber"":""091000022""}","{""status"":""error"",""errorCode"":""ACH-504"",""message"":""gateway_timeout""}",1100,R03,"R01,R02,R03,R04,R07,R08,R10,R29",091000022,"021000021,111000025,091000022,026009593,122105155","payments-service",1778232685,"d0f6ed9d-eb72-f247-0707-d2ef3c7201da"
"2026-05-05T12:26:52.000+0000",8953,23822,USD,"1777984012.101","/v1/ach/debit","/v1/ach/debit,/v1/ach/credit,/v1/ach/status,/v1/ach/verify-account,/v1/ach/settlement,/v1/ach/return",INFO,"INFO,ERROR,EXIT",cd74ce799091e73ad3377e455925e866,"{""type"":""debit"",""amount"":23822,""currency"":""USD"",""accountLast4"":""8953"",""routingNumber"":""021000021""}","{""status"":""pending"",""achStatus"":""submitted"",""estimatedSettlementDate"":""2026-05-06""}",101,R08,"R01,R02,R03,R04,R07,R08,R10,R29",021000021,"021000021,111000025,091000022,026009593,122105155","payments-service",1777984012,"cd74ce79-9091-e73a-d337-7e455925e866"
